State,Murder,Assault,UrbanPop,Rape
Alabama,132,236,58,212
Alaska,10,263,48,445
Arizona,81,294,80,31
Arkansas,88,190,50,195
California,9,276,91,406
Colorado,79,204,78,387
Connecticut,33,110,77,111
Delaware,59,238,72,158
Florida,154,335,80,319
Georgia,174,211,60,258
Hawaii,53,46,83,202
Idaho,26,120,54,142
Illinois,104,249,83,24
Indiana,72,113,65,21
Iowa,22,56,57,113
Kansas,6,115,66,18
Kentucky,97,109,52,163
Louisiana,154,249,66,222
Maine,21,83,51,78
Maryland,113,300,67,278
Massachusetts,44,149,85,163
Michigan,121,255,74,351
Minnesota,27,72,66,149
Mississippi,161,259,44,171
Missouri,9,178,70,282
Montana,6,109,53,164
Nebraska,43,102,62,165
Nevada,122,252,81,46
New Hampshire,21,57,56,95
New Jersey,74,159,89,188
New Mexico,114,285,70,321
New York,111,254,86,261
North Carolina,13,337,45,161
North Dakota,8,45,44,73
Ohio,73,120,75,214
Oklahoma,66,151,68,20
Oregon,49,159,67,293
Pennsylvania,63,106,72,149
Rhode Island,34,174,87,83
South Carolina,144,279,48,225
South Dakota,38,86,45,128
Tennessee,132,188,59,269
Texas,127,201,80,255
Utah,32,120,80,229
Vermont,22,48,32,112
Virginia,85,156,63,207
Washington,4,145,73,262
West Virginia,57,81,39,93
Wisconsin,26,53,66,108
Wyoming,68,161,60,156
